,comments,Sentiment,Translation,TranslationSentiment
10,“流星花园”的故事穿上了好莱坞的衣裳，再搭配上文化差异的看点，就让这部电影瞬间蹭上了时下政治热潮的列车，并一路高歌向前，看得老外和国外长大的华裔都乐到不行。中国人很可能不待见吧？其实索性当作爱情喜剧来看，那些该有的笑点泪点都有，别太认真，真的。,0.0,"""Meteor Garden"" story put on the Hollywood clothes, and then with the cultural differences to see the point, let this film instantly rubbed on the current political craze of the train, and all the way to sing forward, see foreigners and foreign growing Chinese are happy to not. The Chinese are probably not to see each other, are they? In fact, as a love comedy to see, those should have some smile tears have, do not take too seriously, really.",0.13749999999999998
11,8012年了还在拍灰姑娘的故事……琼瑶70年代三厅电影随便找一部重新英语配音的感觉。但主流院线+全亚裔阵容真的不容易。我，一个bored broke Asian. 杨紫琼好美。,0.0,"In 8012, I was still shooting the story of Cinderella... Qiong Yao’s 70-room three-room movie casually found a feeling of re-English dubbing. But the mainstream cinema + all-Asian lineup is really not easy. I, a bored broke Asian. Yang Ziqiong is beautiful.",-0.07333333333333336
12,Regal of Union Square座无虚席，结尾有掌声，恭喜亚洲玛丽苏入侵美国。开头的Quote误导性太严重，China雄起跟这部挂羊头卖狗肉全都是stereotype的电影有什么联系。不过是抓住了美国人的潮点，弄个教堂，挂几个红灯笼，唱响一出亚洲盛世，宣扬一波美国精神。,0.0,"Regal of Union Square was full, with applause at the end, congratulating Asian marisu on invading the United States. The beginning of the quote is too misleading, and China has anything to do with the hanging out film, which is all stereotype. But caught the tide of the Americans, got a church, hung a few red lanterns, sang an Asian heyday, and preached a wave of American spirit.",0.024999999999999994
13,08/08 纽约Advance Screening，我们都觉着肯定是故意选了这个日子。这绝对是一部制作精良的Rom-Com！影片中许多小细节，涉及东西方文化的冲突、世界其他地方的人是怎么看待美国人的，还有亚洲男被刻板印象的禁锢，都处理得很有趣。且终于也轮到了白人沦为趴体舞池里扭动的背景…真的，真的，真的希望，亚裔/亚洲人都能去电影院支持这部片子。根据NYT，它卖座与否目前直接决定着五六部亚裔主角的电影能够被制作出来。即使无法relate到crazy或rich，但这却是一个讲述多样的亚裔故事的开始。一定要成功啊！（拭目以待会不会有白人觉得被offend）,0.0,"08/08 New York Advance Screening, we all feel that it is definitely deliberately chosen this day. This is definitely a well-made Rom-Com! Many small details in the film, involving conflicts between Eastern and Western cultures, how people in other parts of the world think about Americans, and the imprisonment of Asian men are all very interesting. And finally it was the turn of the whites to sway the background in the dance floor... Really, really, I really hope that Asian/Asians can go to the cinema to support this film. According to NYT, whether it sells seats or not now directly determines the film of five or six Asian protagonists can be produced. Even if you can&#39;t relate to crazy or rich, this is the beginning of a diverse Asian story. Be sure to succeed! (I will wait until there will be white people who feel offend)",0.08952020202020201
14,Banana....专给ABC看的童话故事 难得全亚洲人Cast,0.0,Banana....The fairy tale for ABC is rare for all Asians.,0.3
15,所以我确实不是racist 当初说不能因为黑豹全黑就说它是好电影 现在全亚终于可以光明正大的讲是烂片 小时代要是说英语烂番茄也可以满分（支持还是必须要支持的 也确实花钱买票了 但是不能睁着眼睛说瞎话这是电影值93%啊）(但是henry golding真的帅）,0.0,"So I really don&#39;t think of racist. I said that I can&#39;t say that it is a good movie because the Panther is all black. Now the whole world can finally be said to be a bright and small one. If you say that English rotten tomatoes can also be perfect (support or must support and indeed spend Money buys a ticket but can&#39;t squint and say yes, this is a movie value of 93%) (but henry golding is really handsome)",0.28833333333333333
16,全亚洲人卡司是个什么事，资本逐利画个浓妆就认不出来了吗。割韭菜割得花样百出，电影拍得俗烂透顶。这片子吹得，小时代不也吹得了？,0.0,"What is the whole Asian card, and it is impossible to recognize the capital by making a heavy makeup. The cut leeks cut a lot of tricks, and the film was so badly shot. This film blows, the small age does not blow up?",-0.26944444444444443
17,【YVR-que】如果只看故事的话只是cliche，如果改个名字成crazy rich young会好多。但当所有卖点都是全亚裔的时候，当其他族裔少数群体争平权反刻板的时候，这部全亚裔的影片固定，如果不是丑化，亚裔群体。或者说，弄个钱的故事不好么？最后的结果是abc，被西方教育的性格选择赢得了尊重和结果，亚洲只成为了钱面的点缀。问我这样的影片北美出现好不好？短期是好的但长期只是退化。那么多辛辛苦苦的打拼亚裔被一部电影退后一大步,0.375,"[YVR-que] If you only read the story, it is just cliche. If you change your name to crazy rich young, it will be much better. But when all the selling points are all Asian, when the other ethnic minority groups are fighting against the stereotypes, this Asian-American film is fixed, if not ugly, Asian groups. Or is it a bad story to get a money? The final result is abc, which has won respect and results by the choice of Western educational personality, and Asia has only become an embellishment of money. Ask me if the film like North America is good or not? The short term is good but the long term is only degradation. So many hard-working Asians have been backed up by a movie.",0.09999999999999998
18,不要去看crazy rich asian，非常烂，剧情跟新版流星花园差不多且更烂。不知道为啥影院都是老美，评分还挺高!难道是带着对神秘东方财富的好奇心去看的？估计看完也觉得白瞎了。shame on you Hollywood! 🙄,0.46875,"Don&#39;t go to crazy rich asian, it&#39;s very bad, the story is almost the same as the new Meteor Garden and worse. I don&#39;t know if the theaters are old and beautiful, and the score is quite high! Is it to look at the curiosity of the mysterious oriental wealth? It is estimated that I feel white after reading it. Shame on you Hollywood! 🙄",-0.020719696969696947
19,算是见识了，顶级富豪的土鳖生活。,0.0,"It’s an insight, the bandit life of the top rich.",0.4375
20,虽说片中的角色说自己是中国人，但里面的中国元素都是猎奇式的存在，老外眼里的所谓中国，就像演员们的长相一样，看着是东方面孔，但跟东方已经没有关系了，骨子里是彻彻底底的白人思维，中国元素就像他们说的汉语口音一样尬。疯狂的亚洲富豪家族不过就是一个戏剧噱头，最后讲的还是女性要独立，勇敢追求真爱的西方主流价值观，完完全全的白人思维，不过是换了一个亚洲的故事背景板，讲的还是灰姑娘的故事，这跟中国人有半毛钱关系吗？,0.0,"Although the characters in the film say that they are Chinese, the Chinese elements inside are all hunting. The so-called China in the eyes of foreigners is like the appearance of actors. It looks like an oriental face, but it has nothing to do with the East. The bones are completely white thinking, and the Chinese elements are as embarrassing as the Chinese accent they say. The crazy Asian rich family is just a drama gimmick. In the end, it is still the female mainstream, the brave pursuit of true Western mainstream values, the complete white thinking, but the Asian story background, the Cinderella The story, is this a half-money relationship with the Chinese?",0.06406250000000001
21,stereotype到尴尬不适，被好莱坞白人当作diversity的吉祥物罢了。以及都8102年了还在说美国精神追求个人意志自由而亚洲人墨守传统家族第一......,0.0,"Stereotype is uncomfortable and is used by Hollywood whites as a mascot for diversity. And in 8102, it is still said that the American spirit pursues the freedom of individual will and the Asians stick to the traditional family first...",-0.05
22,郭敬明看后扼腕叹息，我的《小时代》应该晚拍几年，并主要在北美公映...,0.0,"Guo Jingming sighed after seeing it, my &quot;Little Times&quot; should be filmed a few years later, and mainly released in North America...",-0.011111111111111118
23,好莱坞25年以来第一部全亚裔卡司、主创的电影——而且不仅仅是噱头，真的很好看！全程笑点，对亚洲文化的把握也很精到。这部电影对亚裔的意义就如同黑豹于非裔，必须无条件支持。,0.0,"The first Asian-American card and the main movie in Hollywood for 25 years - and not just the gimmick, it&#39;s really good! The whole process laughs and the grasp of Asian culture is also very good. The film&#39;s meaning to Asians is like the Panthers of African descent, and must be unconditionally supported.",0.34309523809523806
24,crazy stereotypical 核心价值观脆弱，对亚裔 二代移民 亚洲文化 和 美国文化的理解都浮于表面。故事单薄，镜头平淡无奇，过多“好看”的美食画面填塞。形式上的黄皮肤黑头发，难以掩盖其取悦白人的本质。,-0.55,"Crazy stereotypical core values ​​are fragile, and the understanding of Asian second-generation immigrant Asian culture and American culture is superficial. The story is thin, the lens is flat, and too many “good-looking” food images are stuffed. The form of yellow-skinned black hair is difficult to cover up to the essence of white people.",-0.14097222222222222
25,分不清是炫富还是爆发户，中国文化放在新加坡也显得似是而非，但故事本身还算走心。多金男和自立女，喜剧狗血和亲情，一圈麻将打出了“色戒”的水平。好莱坞这次是黄皮黄心了，虽然讲的还是英文~,0.0,"It is unclear whether it is a show-off or an outbreak of households. Chinese culture is also plausible in Singapore, but the story itself is still a matter of heart. More gold male and self-reliant female, comedy dog ​​blood and family, a circle of mahjong played the &quot;color ring&quot; level. Hollywood is a yellow-yellow heart this time, although it is still in English~",0.16666666666666666
26,"Three lessons: 1: Oh yes don’t be jealous crazy rich people have their crazy problems, too. 2: “Integrity” will win you a billion dollar emerald ring. 3: NYU economics professor is a high school girl. ",0.027000000000000017,"Three lessons: 1: Oh yes don&#39;t be jealous crazy rich people have their crazy problems, too. 2: &quot;Integrity&quot; will win you a billion dollar emerald ring. 3: NYU economics professor is a high school girl.",0.027000000000000017
27,"以朱浩伟为首的本片编导团队，可能是灵魂开窍，与开心麻花产生了某种神交，以至于把这片跟今年的《西虹市首富》《李茶的姑妈》搁一块儿组成三部曲也毫不违和；
放在当前来看，这片就像一个无人认领的弃婴，它拍的不是亚洲人，也不是有钱人，更不是有钱的亚洲人，但却能漂洋过海在大洋彼岸掀起一阵狂潮，而，理所当然的，它也不属于好莱坞所在的那个美洲，只是越俎代庖替亚裔开了一扇虚无的窗户，一扇可供西方“偷窥”的窗户；
在对金钱物质层面展示完后，后半段又笔锋一转，开始歌颂“高尚的爱情”，它或许没有将物质崇拜表现得那么露骨和令人不适，却也用另一种方式传达了“有了金钱便有了一切”；
以及，搁在以往无论在哪部片里听到《甜蜜蜜》和《月圆花好》，我都会觉得是一种相得益彰的存在，但这一次却深感可能是邓丽君和周璇被误会最深的一次。",0.0,"The film-directed team headed by Zhu Haowei may be a soul-opening, and has a kind of divine relationship with happy twists, so that this piece will be combined with this year’s &quot;Xihong City&#39;s richest man&quot; and &quot;Li Tea&#39;s aunt&quot; to form a trilogy. It is not against the current; on the current point of view, this piece is like an unclaimed abandoned baby. It is not an Asian, nor a rich person, nor a rich Asian, but it can drift across the ocean. Crossing the sea on the other side of the ocean, a wave of frenzy, and, of course, it does not belong to the Americas where Hollywood is located, but the more the dynasty opened a window for the Asians, a window for Western &quot;sneak peek&quot;; After the display of the material level of money, the second half of the game turned around and began to praise the &quot;noble love&quot;. It may not be so explicit and uncomfortable in material worship, but also conveyed in another way. Money has everything&quot;; and, in the past, I heard that &quot;Sweet Honey&quot; and &quot;Full Moon Flower&quot; in any film, I think it is a kind of complement each other, but this time it may be deeply Lijun and Zhou Xuan misunderstood the deepest one.",0.08859649122807019
28,喜剧拍好不容易，朱浩伟这个片子就是证明。情节不可信，剪辑不连贯，very loud，所有的服装装饰道具台词都俗不可耐，太符合外国人对中国新贵的印象。除了奥卡菲娜值得推荐之外，一无是处。根本不能和Joy Luck Club相提并论。,0.0,"It’s not easy to make a comedy. Zhu Haowei’s film is proof. The plot is not credible, the editing is incoherent, very loud, all the costumes and decorative props are unbearable, too much in line with the impression of foreigners on Chinese upstart. Except for Okafina, it is worth nothing. It can&#39;t be compared to the Joy Luck Club at all.",0.10166666666666667
29,最后求婚的时候比看pretty woman还令人少女心炸裂！配角也毫不俗套，姐姐真是新时代女性icon，老公出镜展现他的肌肉，最后一个镜头又显得他很渺小，实在厉害！全场坐满都看得好开心。杨紫琼还是好美。 不过2018灰姑娘entry-level都是nyu教授了吗...,0.0,"At the end of the marriage proposal, it is more than a pretty girl! The supporting role is also very good, my sister is really a new era female icon, her husband shows his muscles, and the last shot seems to be very small, it is amazing! I was very happy when I was full. Yang Ziqiong is still beautiful. But 2018 Cinderella entry-level is nyu professor?",0.3944886363636364
30,可不可以叫《疯狂的东南亚富豪》？  我一直好奇为什么美国电影里的亚洲总是充斥着一种东南亚风情,0.0,Can you call &quot;Crazy Southeast Asia Regal&quot;? I have been wondering why Asia in American movies is always full of Southeast Asian style.,0.11666666666666665
31,看预告时候感觉，怕不是新加坡版流星花园吧。去电影院一看，嘿真是新加坡流星花园。所以说你坡上流社会特征就是都得说英音，然后嫌弃ABC？避重就轻，华人移民，亚洲女性，新加坡人，三个群体的问题一个都没触及到，3000万的投资就讲了个脑残故事。兄弟啊，说好的国际化大都市能不能来点格局？,0.0,"I feel that when I look at the notice, I am afraid that it is not the Singapore Meteor Garden. When I go to the cinema, I am really a Singapore Meteor Garden. So the social characteristics of your upper slopes are that you have to speak English, and then dislike ABC? Avoiding heavy weight, Chinese immigrants, Asian women, Singaporeans, the three groups of problems have not touched one, and the investment of 30 million has told a story of brain damage. Brother, can you say that a good international metropolis can come to a certain pattern?",0.0316017316017316
32,确实如大部分评价描述的那般，这是属于美籍黄种人的《黑豹》，但较之《黑豹》近乎歇斯底里的族裔妖魔化，本片多少还是做到了自知分寸（起码是在现实世界可以落实的前提下），当然了，“朱浩伟接过《喜福会》横跨25年的接力棒”之类的言论自然是笑话（他甚至分不清何为华语情境，通篇只有癫狂过火的模糊的土炮式亚洲金钱奇观），整部作品的审美同郭敬明相比并未高出多少，它带来的满足感仅仅是立足于肤色所导致的想当然式自卑，而非设身处地的真情实感（估计早已被同化的创作者们自身压根也无力发觉），说到底，这只是一部“香蕉电影”。,0.0,"Indeed, as most of the evaluations describe, this is the &quot;black panther&quot; belonging to the American yellow race, but compared to the almost hysterical ethnic demonization of the &quot;black panther&quot;, the film is still somewhat self-aware (at least Under the premise that the real world can be implemented, of course, &quot;Zhu Haowei&#39;s remarks that took over the 25-year baton of the Joy Luck Club are naturally jokes. (He can&#39;t even tell what the Chinese context is. The ambiguous artillery-style Asian money spectacle, the aesthetics of the whole work is not much higher than that of Guo Jingming. The satisfaction it brings is only based on the skin color and the self-esteem, but not the place. Real feelings (estimated creators who have been assimilated themselves are not able to detect themselves), in the end, this is just a &quot;banana movie.&quot;",0.021666666666666664
33,"《摘金奇缘》，讲述一群生活在贫民窟的穷人的艰苦生活。
他们不能浪费粮食，毕竟美国还有很多贫困儿童吃不起饭。
他们穷得去不起酒吧，所以只能在自己的游轮上开party了。
他们买不起免排队门票，只好把整个岛包下来。
他们分手了想去酒店住一晚，可是没钱，只能回到自己的14栋公寓里哭。
他们不在乎金钱，只在乎真爱，所以要送女友一颗大钻戒来表达自己纯粹的爱。
王思聪：为什么要拍一部讲一群穷人的电影来贬低我们中国人？
王多鱼：他们过得太惨了吧，想给他们捐款。",0.0,"&quot;Golden Romance&quot; tells the hard life of a group of poor people living in slums. They can&#39;t waste food. After all, there are still many poor children in the United States who can&#39;t afford to eat. They are too poor to go to the bar, so they can only open a party on their cruise ship. They couldn&#39;t afford the skip-the-line ticket and had to pack the entire island. They broke up and wanted to go to the hotel for one night, but they had no money and could only go back to their 14 apartments and cry. They don&#39;t care about money, they only care about true love, so they have to send their girlfriend a big diamond ring to express their pure love. Wang Sicong: Why do you want to make a film about a group of poor people to devalue our Chinese? Wang Duoyu: They have gone too far, and want to donate to them.",0.0036309523809523805
34,主创彻底没搞明白美籍华人ABC、新加坡华人、香港人、台湾人、中国大陆人的区别。女主选得很失败，面相与经济学教授没半毛钱关系。,0.0,"The master did not understand the difference between Chinese Americans ABC, Singapore Chinese, Hong Kong people, Taiwanese, and mainland Chinese. The female lord has chosen to fail, and she has no relationship with economics professors.",-0.1
35,全部主演都是亚裔面孔，在好莱坞确实很不容易，从某种角度上来说也可能是一种进步。但是从电影院中出来，仍然感觉到某些不适。影片中无论是演员的样子还是镜头下的各种场景，我其实没有感觉到亚洲的审美。我始终觉得中国文化的复兴不应该也不可能是通过将自身放到西方文化的叙事中去，中国文化应该有属于自己的独立的叙事，才可能重新成为一种强势的文化。日韩是先驱，然而中国需要做得更好。,0.0,"All starring is an Asian face, it is really not easy in Hollywood, and in some ways it may be an improvement. But from the cinema, I still feel some discomfort. In the film, no matter the actors or the scenes under the lens, I actually did not feel the aesthetics of Asia. I have always felt that the revival of Chinese culture should not and cannot be placed in the narrative of Western culture. Chinese culture should have its own independent narrative, and it can become a strong culture again. Japan and South Korea are pioneers, but China needs to do better.",0.13166666666666665
36,核心还是一个套路的爱情故事，真爱打破一切壁垒，幸福大团圆，类似的剧情可以套用在各种场景，且已经套用在太多场景。只不过这次的全亚班，才让影片更有话题性。影片好在娱乐性应用合理，适当的炫富，有趣的配角，和一些文化差异梗。但也仅限于此吧，常规好莱坞娱乐片。而且有些设定其实还是挺刻板的。,0.0,"The core is still a routine love story, true love breaks all barriers, happiness reunion, similar plots can be applied to various scenes, and has been applied in too many scenes. Only this time, the whole Asian class made the film more topical. The film is good for entertaining applications, proper show off, interesting supporting roles, and some cultural differences. But it&#39;s also limited to this, regular Hollywood entertainment. And some settings are actually quite rigid.",0.2489795918367347
37,说明了几点：1.顶级华人富豪处于全球鄙视链的顶端，他们鄙视西方的个体主义，鄙视他们的文化经济；2.成为富人多是蝴蝶效应的产物，与你的智商才干没多大关系；3.在稳定的秩序下，你的个体能动性和创造性会被严重限制，而秩序和赋权会赋予你强大的力量来取得远超越个体的成就；4.本片某种程度上是一种折衷的产物，有文化差异的折衷，更有个体性的折衷；,0.0,"Explain a few points: 1. The top Chinese rich are at the top of the global scorn chain, they despise Western individualism and despise their cultural economy; 2. Become rich is mostly a product of the butterfly effect, and has little to do with your IQ skills. 3. In a stable order, your individual initiative and creativity will be severely restricted, and order and empowerment will give you a powerful force to achieve achievements far beyond the individual; 4. The film is somewhat of a kind The product of compromise, the compromise of cultural differences, and the more individual compromise;",0.18750000000000003
38,故事还算fun，但硬伤还是很多滴，特别是男女主角代入感太低了，男主太完美没过错也没什么特点，女主人物设定太普通全靠一些joke来撑，感觉应该用来建立人物以及人物关系的场景全用来做新加坡美食旅游介绍了。有些配角的故事线貌似开始了也没怎么发展。AWKWAFINA和NICO SANTOS很给力，中文歌曲穿插不错，麻将戏不错～但是，所有coverage都靠正反打也是太传统了吧...好吧，或许我对rom com期待太高了,0.0,"The story is still fun, but the injury is still a lot of drops, especially the male and female protagonist substitution is too low, the male master is too perfect, no fault, no characteristics, the female main character is set too ordinary by some joke to support, the feeling should be used The scenes of establishing characters and characters are all used to introduce Singapore food tourism. The story line of some supporting roles seems to have begun and has not developed much. AWKWAFINA and NICO SANTOS are very powerful, Chinese songs are well interspersed, mahjong plays well~ However, it is too traditional to use all the coverages on the front and back. Well, maybe I am looking forward to rom com too high.",0.12037037037037039
39,【UA Berkeley 7】2018.8.23.4pm 据说已是华裔在好莱坞能见度上的突破，却依然要采取这样一种自我想象和自我书写。而这类“颠倒”恰恰是对由“全球化现代化的历史暴力造就的、财富阶级铭写的”的种族阶序的最忠诚的复制。可以管窥，美籍华裔（或者说在美国生活的chinese）身处的文化困境逼仄到何种程度。（当然中国也不外在于这类逻辑，只是倘若能够赢回历史、赢回自我，就能稍多一些腾挪空间。）,0.0,"[UA Berkeley 7] 2018.8.23.4pm It is said that it is a breakthrough for Chinese Americans in Hollywood visibility, but still has to adopt such a self-imagining and self-writing. And this kind of &quot;reversal&quot; is precisely the most loyal copy of the racial order of the &quot;wealth class created by the historical violence of globalization.&quot; It can be seen how much cultural misery is in the lives of Chinese Americans (or Chinese living in the United States). (Of course, China is not in this kind of logic, but if you can win back history and win back yourself, you can make more room for it.)",0.2895833333333333
40,就是打阶级差的准灰姑娘故事，常见的爱情类型片套路而已，加一些东南亚风的配色撞文化style，以及糟糕的选Chinese歌套路，闽南话、粤语、京腔的短句乱入。没啥好看的，但也不用上升到乳化（裔）的漫天批评吧？！真要觉得自己是代表才OK么？也大可不必罢。,0.0,"It is the quasi-Cinderella story of the poor class, the common love type film routine, plus some Southeast Asian style color matching culture style, as well as the bad selection of Chinese song routines, Minnan dialect, Cantonese, Jingjing short sentences. Nothing to look good, but don’t you have to criticize it to the emulsification? ! Do you really want to feel that you are a representative? It doesn&#39;t matter.",0.01944444444444447
41,美国ABC亚裔的自恨自黑剧，蹩脚尴尬的普通话腔调加上土得掉渣的豪门盛宴，极大的满足了ABC扭曲白化的低俗笑点和白人看亚裔贵族阶层杂耍玩乐的丑恶心态。该片不但笑点设置庸俗，而且还很能让在场观看的一些自恨ABC来事，动不动就在观影同时插播几条嘲讽揶揄的评论，让身为国人的我都倍感羞耻。故事性也是一塌糊涂，傍上豪门的退伍军人没底气关着门一边打炮一边吃软饭，居然有底气瞒着身材火辣的贵妇老婆出去搞外遇。而奶奶老妈好不容易组成的排外阵线竟然被一把麻将牌就给轻易击溃了，你说可笑不？完全架空的故事情节以及完全不正的亚裔三观让这部电影满目疮痍，尴尬连连，部分美国华裔团体居然还有脸要让亚裔都去买票支持，我只能说，亚裔当自重，远离此烂片。,0.0,"The American ABC Asian self-hate from the black drama, the slapstick-speaking Mandarin and the scum of the scum of the scum, greatly satisfying the ugly mentality of ABC’s distorted whitening and the ugly mentality of white-handed Asian aristocratic class. . The film not only laughs and sets vulgarity, but also allows some of the self-hate ABCs to watch the scenes. It is also a shameful commentary while watching the movie, so that I am ashamed of being a Chinese. The story is also a mess, the veterans who slammed the giants did not have the confidence to close the door while shooting a cannon while eating soft rice, and actually had the temperament of a hot wife and wife to go out to engage in an affair. And the grandmother&#39;s mother is not easy to form an exclusive line that was easily defeated by a mahjong card. Are you ridiculous? The completely empty storyline and the completely unscrupulous Asian Three Views made the film devastated. Even some American Chinese groups still have faces to let Asians buy tickets. I can only say that Asians are self-respecting. Stay away from this bad film.",-0.10032051282051281
